index	segment
0	3.4370499999999997:3.77005
1	3.77005:3.904
2	3.904:5.138
3	5.138:5.1720500000000005
4	5.1720500000000005:9.576
5	9.576:9.61005
6	9.61005:11.745
7	11.745:11.778049999999999
8	11.778049999999999:17.484
9	17.484:17.518050000000002
10	17.518050000000002:19.386
11	19.386:19.419050000000002
12	19.419050000000002:20.988000000000003
13	20.988000000000003:21.021050000000002
14	21.021050000000002:23.256999999999998
15	23.256999999999998:23.29005
16	23.29005:26.493000000000002
17	26.493000000000002:26.52705
18	26.52705:29.096
19	29.096:29.263050000000003
20	29.263050000000003:30.796999999999997
21	30.796999999999997:31.164050000000003
22	31.164050000000003:32.566
23	32.566:32.599050000000005
24	32.599050000000005:34.66805
25	34.66805:34.968
26	34.968:36.069
27	36.069:36.10305
28	36.10305:37.104
29	37.104:37.13705
30	37.13705:37.971
31	37.971:44.17705
32	44.17705:44.71105000000001
33	44.71105000000001:44.745
34	44.745:44.978
